A_pos_peak_time,MAX_pos_peak_time,MIN_pos_peak_time,A_neg_peak_time,MAX_neg_peak_time,MIN_neg_peak_time,A_close time,MAX_close time,MIN_close time,A_open time,MAX_open time,MIN_open time,A_blink time,MAX_blink time,MIN_blink time,A_peak ratio,MAX_peak ratio,MIN_peak ratio,A_peak dist ratio,MAX_peak dist ratio,MIN_peak dist ratio,A_area ratio,MAX_area ratio,MIN_area ratio,Label
40.4,39.2,71.6,114.8,186.4,2.6,0.38,1.86,44.0,50.0,74.0,124.0,196.0,3.19,0.42,2.6,32.0,32.0,70.0,96.0,166.0,2.0,0.32,1.4,1.0
41.6,35.2,79.2,113.2,192.4,2.15,0.38,1.79,50.0,42.0,92.0,122.0,214.0,2.63,0.4,2.13,36.0,30.0,70.0,96.0,166.0,1.79,0.35,1.62,1.0
40.4,42.0,77.2,116.8,194.0,2.12,0.41,1.64,50.0,46.0,84.0,136.0,218.0,2.86,0.45,1.78,34.0,38.0,64.0,84.0,164.0,1.82,0.37,1.32,1.0
40.0,43.6,72.4,117.6,190.0,2.93,0.4,2.04,44.0,52.0,78.0,144.0,216.0,4.49,0.45,3.07,38.0,34.0,66.0,90.0,156.0,2.23,0.38,1.46,1.0
38.4,38.8,74.8,119.2,194.0,2.14,0.39,1.52,40.0,46.0,88.0,134.0,222.0,2.25,0.43,1.62,34.0,34.0,58.0,96.0,154.0,2.02,0.32,1.38,1.0
38.4,66.4,106.0,126.8,232.8,2.34,0.48,1.86,52.0,180.0,264.0,234.0,498.0,2.68,0.81,1.96,32.0,34.0,58.0,92.0,156.0,1.88,0.38,1.79,1.0
40.4,44.0,80.0,133.2,213.2,2.36,0.39,1.75,46.0,56.0,92.0,150.0,242.0,2.84,0.46,2.05,34.0,38.0,72.0,114.0,186.0,1.98,0.32,1.45,1.0
37.6,51.6,85.6,136.0,221.6,2.8,0.45,1.87,50.0,70.0,94.0,168.0,262.0,3.25,0.47,2.25,30.0,44.0,76.0,116.0,204.0,2.46,0.43,1.55,1.0
42.4,49.2,92.0,154.0,246.0,2.76,0.4,1.74,44.0,56.0,94.0,162.0,256.0,2.97,0.45,2.09,40.0,36.0,88.0,142.0,232.0,2.59,0.34,1.54,1.0
41.6,49.6,93.2,140.8,234.0,2.18,0.43,1.66,50.0,58.0,108.0,162.0,256.0,2.41,0.47,1.89,36.0,42.0,80.0,124.0,204.0,1.95,0.38,1.39,1.0
42.8,46.8,92.8,140.0,232.8,2.41,0.42,1.83,54.0,54.0,102.0,146.0,242.0,2.76,0.46,1.89,36.0,38.0,86.0,122.0,224.0,1.62,0.34,1.74,1.0
40.4,44.4,80.8,134.8,215.6,2.54,0.39,1.7,46.0,48.0,88.0,150.0,230.0,2.8,0.41,1.99,38.0,40.0,74.0,110.0,184.0,2.33,0.35,1.41,1.0
45.2,48.4,90.8,131.2,222.0,2.67,0.42,2.07,60.0,56.0,112.0,148.0,260.0,3.05,0.5,2.67,38.0,42.0,78.0,114.0,196.0,2.32,0.37,1.84,1.0
41.6,43.6,83.2,124.8,208.0,2.51,0.41,1.83,56.0,46.0,96.0,136.0,228.0,2.94,0.47,1.96,32.0,42.0,74.0,104.0,178.0,2.21,0.38,1.61,1.0
37.6,42.8,76.0,133.6,209.6,2.35,0.39,1.49,40.0,52.0,88.0,146.0,228.0,3.25,0.45,2.13,32.0,36.0,62.0,122.0,184.0,1.9,0.34,1.01,1.0
